,semantic dissimilarity,generation number
231,4.896574756834041,1.0
232,5.023584814866638,1.0
233,4.118046929285121,1.0
234,4.705056392719577,1.0
235,4.167300138867879,1.0
236,4.309757230468987,1.0
237,4.779804883269473,1.0
238,4.047442657724833,1.0
239,5.17615574718259,1.0
240,4.649107874246842,1.0
241,5.100384686261585,1.0
242,4.53768284974031,1.0
243,5.080930342656135,1.0
244,5.47935539903131,1.0
245,4.683372743685387,1.0
246,4.745403252249097,1.0
247,5.223618605183731,1.0
248,6.1940871373018895,1.0
249,4.105371150461734,1.0
250,4.914646808680641,1.0
251,4.002968467434114,1.0
252,5.305857557728246,1.0
253,4.712700214940225,1.0
254,4.839873359322719,1.0
255,3.7247165058134866,1.0
256,5.258682134380297,1.0
257,5.284277616468941,1.0
258,4.241132910146469,1.0
259,5.0838253149162,1.0
260,4.1787711075999745,1.0
261,4.760829632483285,1.0
262,4.614675306526144,1.0
263,5.48811922163278,1.0
264,4.952330062038002,1.0
265,4.90636115983165,1.0
266,5.200072372416553,1.0
267,4.680764153411673,1.0
268,4.6963694348288225,1.0
269,4.951832800260772,1.0
270,4.579680523763804,1.0
271,4.177306787142971,1.0
272,5.488892108982918,1.0
273,5.100810203081168,1.0
274,4.388501791379598,1.0
275,4.390410607235515,1.0
276,4.662373826205979,1.0
277,4.545623513375485,1.0
278,5.410963059977796,1.0
279,5.112682819780385,1.0
280,4.357933831960658,1.0
281,3.9519420695269276,1.0
282,4.103860957643689,1.0
283,4.48717825596499,1.0
284,4.149776592654655,1.0
285,4.748485538685884,1.0
286,4.856213121236482,1.0
287,5.057627995792457,1.0
288,4.44649111914373,1.0
289,4.661792742452885,1.0
290,5.172199142370438,1.0
291,4.354709948706281,1.0
292,3.9595222928234732,1.0
293,5.7956031679103805,1.0
294,4.603595892249914,1.0
295,4.853257761698219,1.0
296,4.432781671238925,1.0
297,3.6123113440227756,1.0
298,4.604583769837345,1.0
299,4.590767623656266,1.0
300,4.130473373021447,1.0
301,5.2865998265631395,1.0
302,4.6872289752192575,1.0
303,5.200004699072659,1.0
304,4.992671307164778,1.0
305,4.16817714614869,1.0
306,5.2618216161127505,1.0
307,4.3154527320872305,1.0
308,4.785325021971673,1.0
309,4.758348663025396,1.0
310,3.8664691155124347,1.0
311,3.9253548228757946,1.0
312,4.579120899124279,1.0
313,4.473371252002127,1.0
314,5.145862089668955,1.0
315,4.159781993932856,1.0
316,3.8071460592349573,1.0
317,3.771760714203608,1.0
318,5.038229005198695,1.0
319,4.564685768857482,1.0
320,4.646997108381321,1.0
321,4.473717739944522,1.0
322,4.10814525978375,1.0
323,4.644241076622232,1.0
324,4.2586832941439,1.0
325,4.475914824572138,1.0
326,4.375994509379416,1.0
327,4.663312158123432,1.0
328,5.35116218736776,1.0
329,4.884237918220192,1.0
330,4.3234313256440995,1.0
331,5.1154378365148885,1.0
332,4.819281156529165,1.0
333,5.23434307367874,1.0
334,3.927206421980756,1.0
335,4.35606566117447,1.0
336,4.821411123891348,1.0
337,4.276548028628207,1.0
338,3.8937210343240665,1.0
339,5.107031584597226,1.0
340,4.615959349752288,1.0
341,5.586069824648214,1.0
342,5.120848431847156,1.0
343,5.064998712099516,1.0
344,4.8057303624002055,1.0
345,4.040796690246821,1.0
346,4.877627992757029,1.0
347,5.239081886984916,1.0
348,4.395777462684312,1.0
349,4.7217793916351996,1.0
350,4.712643187939189,1.0
351,5.183187536805456,1.0
352,4.052066035393312,1.0
353,5.332373840725582,1.0
354,4.573681647723209,1.0
355,4.012467701160554,1.0
356,4.783965321593044,1.0
357,4.654183680575068,1.0
358,4.839596062060001,1.0
359,5.408710195528459,1.0
360,4.184435300792165,1.0
361,4.847058054180613,1.0
362,4.9406025487996414,1.0
363,4.825036386524316,1.0
364,4.338539732424003,1.0
365,4.465597305962735,1.0
366,4.813291061045781,1.0
367,5.66237085654888,1.0
368,4.632669687398433,1.0
369,4.81055872579301,1.0
370,4.153835941528169,1.0
371,5.439961655200423,1.0
372,4.959089254371957,1.0
373,5.669838232276915,1.0
374,4.210935945591124,1.0
375,4.873191252120885,1.0
376,4.906719828741534,1.0
377,4.575496167421589,1.0
378,4.179985789361485,1.0
379,4.899550309082332,1.0
380,4.939734720562407,1.0
381,4.051497595814795,1.0
382,5.069452041006222,1.0
383,4.140140542732562,1.0
384,5.248247861154281,1.0
385,4.464912424771836,1.0
386,4.803851188880371,1.0
387,4.5436991143547685,1.0
388,5.21906315980418,1.0
389,4.761605993966524,1.0
390,4.527439086011374,1.0
391,4.74704594263326,1.0
392,4.286664286571005,1.0
393,4.052304109727358,1.0
394,4.698622110697133,1.0
395,5.034341107547468,1.0
396,4.257910577528536,1.0
397,4.984747074696623,1.0
398,5.125613688851633,1.0
399,4.413585801157504,1.0
400,4.905220081658198,1.0
401,4.925017790791837,1.0
402,4.568250178498361,1.0
403,5.42602322354692,1.0
404,4.614728717532326,1.0
405,3.7236782424737016,1.0
406,4.380093474686213,1.0
407,4.218511393516033,1.0
408,3.4154534701111228,1.0
409,4.080319714666799,1.0
410,5.097618897598918,1.0
411,5.262228568454657,1.0
412,3.7062904886200467,1.0
413,3.7738233458147263,1.0
