,exploration,generation number
179,62.82303206271673,4.0
180,53.30953681012359,5.0
181,52.13424637012018,6.0
182,57.54197705898047,7.0
183,57.24262225867544,8.0
184,54.28128925931321,1.0
185,55.36063301572061,2.0
186,54.62560998104671,3.0
187,59.93487102935471,4.0
188,56.78847961021253,5.0
189,61.00660620205302,6.0
190,57.49254938778008,7.0
191,55.80786264189876,8.0
192,59.68155937835372,1.0
193,59.40383172509105,2.0
194,57.61618525183894,3.0
195,59.63178053936494,4.0
196,60.414557712829755,5.0
197,55.320701849408884,6.0
198,57.334046482258366,7.0
199,61.850470729498284,8.0
200,59.33621806813217,1.0
201,57.024112254004685,2.0
202,62.221840086610605,3.0
203,52.244453225922264,4.0
204,55.369345390657536,5.0
205,59.99445545085724,6.0
206,58.88108376594136,7.0
207,62.87316256901015,8.0
208,52.227257382860074,1.0
209,53.37250982140373,2.0
210,60.082474122415086,3.0
211,62.80815148656212,4.0
212,58.0566038854122,5.0
213,53.30477203306852,6.0
214,61.88784482149087,7.0
215,55.419089064791436,8.0
216,59.54556800612595,1.0
217,52.22190813665409,2.0
218,53.743810899470986,3.0
219,49.73738795587961,4.0
220,56.44136653885152,5.0
221,54.22049128614623,6.0
222,52.09267896604497,7.0
223,46.60767876608863,8.0
224,60.25484391334112,1.0
225,62.769473926930814,2.0
226,63.79666007138772,3.0
227,29.723068612481768,4.0
228,51.440520029196655,5.0
229,62.99205983888374,6.0
230,58.57839838197367,7.0
231,54.574712803307584,8.0
232,53.99278204782988,1.0
233,56.280178045296864,2.0
234,54.17936969330927,3.0
235,60.42060744832524,4.0
236,61.21146804747458,5.0
237,58.36277388951081,6.0
238,59.84010086753755,7.0
239,52.9286426029903,8.0
240,56.984976161600855,1.0
241,58.67913828740574,2.0
242,57.42415975592025,3.0
243,58.83037920261571,4.0
244,45.932788785225014,5.0
245,62.32615904902833,6.0
246,58.58213425522962,7.0
247,64.74882044821022,8.0
248,51.0657199477188,1.0
249,55.060422466508015,2.0
250,55.0008240731575,3.0
251,63.8150595758934,4.0
252,63.38547613492267,5.0
253,65.35370407373165,6.0
254,60.296621089427966,7.0
255,30.315594337795893,8.0
256,45.616351029419064,1.0
257,49.211717574530724,2.0
258,47.24816199402108,3.0
259,45.38060264997419,4.0
260,44.97133886638041,5.0
261,48.84929595354978,6.0
262,43.093265978916826,7.0
263,49.24753396056837,8.0
264,54.25763614251994,1.0
265,57.94530100207987,2.0
266,57.01576384311946,3.0
267,54.00816527998651,4.0
268,63.565334310443006,5.0
269,59.475918588274354,6.0
270,55.640960418016626,7.0
271,53.752194100052286,8.0
272,54.79489318174007,1.0
273,62.203855657561675,2.0
274,66.35935594136431,3.0
275,50.53803515545813,4.0
276,67.24931046310529,5.0
277,55.55323359670568,6.0
278,57.948403333214536,7.0
279,47.696040831656845,8.0
280,60.088496967866774,1.0
281,54.056093508660716,2.0
282,61.883437034311946,3.0
283,62.58261686228742,4.0
284,63.35540117110515,5.0
285,61.689801530209785,6.0
286,61.52174500268107,7.0
287,63.40312597659656,8.0
288,55.68560011856901,1.0
289,59.25681348227137,2.0
290,51.32784593011031,3.0
291,56.75292252013822,4.0
292,57.05051598707012,5.0
293,55.14315675869617,6.0
294,57.78031251154055,7.0
295,52.68094777698567,8.0
296,61.48404507634069,1.0
