,Exploration,Generation Number
486,409.27373250727663,1.0
487,431.54684284767376,2.0
488,442.0558125591148,3.0
489,428.53497928518385,4.0
490,424.21658706472766,5.0
491,419.0127420780369,6.0
492,386.82913013793967,1.0
493,364.8387340448605,2.0
494,363.59654636488193,3.0
495,380.18160228207853,4.0
496,364.2115507494566,5.0
497,355.72994468402715,6.0
498,387.62966323233127,1.0
499,423.94784685806883,2.0
500,388.98857439246564,3.0
501,374.4634627543332,4.0
502,361.64888825334464,5.0
503,396.4556789156542,6.0
504,392.21040365131336,1.0
505,375.2726019023971,2.0
506,388.7869067775049,3.0
507,411.51286134389375,4.0
508,405.7395178700839,5.0
509,405.8860264778317,6.0
510,365.1241360670159,1.0
511,387.7732059516484,2.0
512,342.0882091621362,3.0
513,324.67654919935217,4.0
514,376.11683016566155,5.0
515,381.46181255075726,6.0
516,356.7057365791156,1.0
517,334.4519919787763,2.0
518,374.8165349076493,3.0
519,385.0737128289756,4.0
520,352.80539349699643,5.0
521,363.4930132164603,6.0
522,397.9974745893412,1.0
523,383.4123468262355,2.0
524,402.8659229193204,3.0
525,393.3213815358224,4.0
526,401.8588863182017,5.0
527,393.5167356040979,6.0
528,419.0635571334362,1.0
529,415.96354081128317,2.0
530,429.4928732586267,3.0
531,404.3598284128637,4.0
532,420.25821175652953,5.0
533,402.8325886897395,6.0
534,398.58742037505783,1.0
535,370.45188446185097,2.0
536,355.61662136403453,3.0
537,379.6625748442771,4.0
538,376.07128744172553,5.0
539,357.31988747628645,6.0
540,377.6326304999672,1.0
541,406.5807457485663,2.0
542,402.6569240346768,3.0
543,388.35563308364755,4.0
544,404.83870322382523,5.0
545,428.5919617206088,6.0
546,404.1981706590793,1.0
547,420.3461938132653,2.0
548,413.26736803911444,3.0
549,409.1751283364786,4.0
550,398.1922257643621,5.0
551,416.5882100325034,6.0
552,467.980665570091,1.0
553,402.84728379748685,2.0
554,430.1139002194381,3.0
555,411.93273592455307,4.0
556,408.62630209746175,5.0
557,409.21260837795427,6.0
